County,"Registered Voters","Active Voters","Inactive Voters","Total Ballots Cast"
Totals,"3,953,613","3,426,499","527,114","2,566,784"
Adams,"287,907","253,203","34,704","174,417"
"Precinct 4253001245",424,397,27,290
"Precinct 4255601241",50,43,7,30
"Precinct 4255601246","1,348","1,183",165,866
"Precinct 4255601247","1,040",969,71,776
"Precinct 4255601248","1,089",970,119,686
"Precinct 4255601249",400,355,45,263
"Precinct 4255601251","1,185","1,045",140,761
"Precinct 6243101150","1,704","1,589",115,"1,253"
"Precinct 6243101151","1,559","1,396",163,"1,050"
"Precinct 6243101159","1,818","1,745",73,"1,388"
"Precinct 6243401075",701,616,85,445
"Precinct 6243401076","1,327","1,216",111,938
"Precinct 6243401077",897,825,72,671
"Precinct 6243401252","1,425","1,324",101,"1,075"
"Precinct 6245601071",919,832,87,639
"Precinct 6245601072",471,456,15,357
"Precinct 6245601073","1,687","1,617",70,"1,335"
"Precinct 6245601074","1,154","1,077",77,871
"Precinct 6245601160",383,372,11,311
"Precinct 6253001152","1,268","1,143",125,853
"Precinct 6253001153",893,814,79,616
"Precinct 6253001154",60,58,2,42
"Precinct 6253001155",397,361,36,282
"Precinct 6253001156",595,570,25,449
"Precinct 6253001157","1,001",903,98,709
"Precinct 6253001226",229,210,19,147
"Precinct 6253001229","1,941","1,396",545,628
"Precinct 6253001230","1,952","1,655",297,"1,044"
"Precinct 6253001231","2,006","1,643",363,"1,026"
"Precinct 6253001232","2,343","1,799",544,953
"Precinct 6253001233","1,596","1,402",194,901
"Precinct 6253001234","1,374","1,163",211,689
"Precinct 6253001235",964,774,190,365
"Precinct 6253001236","1,474","1,277",197,800
"Precinct 6253001237","1,314","1,104",210,551
"Precinct 6253001238","1,367","1,205",162,768
"Precinct 6253001239","1,202","1,043",159,706
"Precinct 6253001240","2,025","1,771",254,"1,206"
"Precinct 6253001242",500,440,60,336
"Precinct 6253001243",996,935,61,749
"Precinct 6253001253",771,593,178,306
"Precinct 6253101158",991,892,99,643
"Precinct 6255601161",159,150,9,107
"Precinct 6255601162","1,003",959,44,822
"Precinct 6255601163",589,562,27,456
"Precinct 6255601164",467,447,20,382
"Precinct 6255601165","1,573","1,519",54,"1,416"
"Precinct 6255601166",519,491,28,411
"Precinct 6255601167",604,573,31,479
"Precinct 6255601168",641,627,14,472
"Precinct 6255601169",545,512,33,395
"Precinct 6255601170","1,604","1,391",213,863
"Precinct 6255601171","1,551","1,428",123,984
"Precinct 6255601172",304,246,58,157
"Precinct 6255601173",98,89,9,73
"Precinct 6255601174",502,460,42,365
"Precinct 6255601175","1,458","1,272",186,969
"Precinct 6255601176",566,495,71,373
"Precinct 6255601177",198,198,0,142
"Precinct 6255601178",1,1,0,0
"Precinct 6255601179",0,0,0,0
"Precinct 6255601180","1,027",941,86,712
"Precinct 6255601181","1,469","1,286",183,905
"Precinct 6255601182",874,777,97,551
"Precinct 6255601183",308,280,28,202
"Precinct 6255601184",321,285,36,201
"Precinct 6255601185",621,568,53,459
"Precinct 6255601186","1,477","1,341",136,933
"Precinct 6255601187","1,283","1,090",193,760
"Precinct 6255601188",926,841,85,674
"Precinct 6255601189",856,799,57,650
"Precinct 6255601190","1,359","1,233",126,902
"Precinct 6255601191","1,676","1,465",211,984
"Precinct 6255601192","1,055",905,150,603
"Precinct 6255601193","1,409","1,204",205,776
"Precinct 6255601194",471,398,73,310
"Precinct 6255601195",516,484,32,399
"Precinct 6255601196",156,105,51,51
"Precinct 6255601197",252,228,24,147
"Precinct 6255601198",704,656,48,529
"Precinct 6255601227",374,357,17,299
"Precinct 6255601228",995,926,69,756
"Precinct 6255601244",886,837,49,707
"Precinct 7213001130",315,275,40,204
"Precinct 7213001140",708,628,80,427
"Precinct 7213001141","1,164","1,019",145,681
"Precinct 7213001199",854,752,102,539
"Precinct 7213001200",136,130,6,105
"Precinct 7213001201",305,275,30,210
"Precinct 7213001202",545,510,35,372
"Precinct 7213001203",540,495,45,407
"Precinct 7213001204",805,704,101,490
"Precinct 7213001205","1,465","1,335",130,962
"Precinct 7213001206","1,456","1,343",113,930
"Precinct 7213001207",769,681,88,511
"Precinct 7213001210","1,701","1,558",143,"1,089"
"Precinct 7213001211",503,438,65,298
"Precinct 7213001212",588,569,19,444
"Precinct 7213001213",716,676,40,501
"Precinct 7213001214","1,185","1,038",147,758
"Precinct 7213001215","1,411","1,213",198,877
"Precinct 7213001225",233,218,15,173
"Precinct 7213101117","1,874","1,701",173,"1,038"
"Precinct 7213101118","1,159","1,019",140,615
"Precinct 7213201001","1,811","1,499",312,894
"Precinct 7213201002","1,799","1,594",205,"1,079"
"Precinct 7213201003","1,705","1,613",92,604
"Precinct 7213201004","1,065",925,140,561
"Precinct 7213201005","1,776","1,585",191,"1,003"
"Precinct 7213201006","1,280","1,105",175,619
"Precinct 7213201007","1,463","1,310",153,872
"Precinct 7213201008","1,127","1,034",93,690
"Precinct 7213201009","1,016",906,110,676
"Precinct 7213201021","1,730","1,486",244,883
"Precinct 7213201022","1,576","1,441",135,"1,498"
"Precinct 7213201023","1,195","1,047",148,647
"Precinct 7213201119","1,581","1,314",267,753
"Precinct 7213201120","1,452","1,284",168,780
"Precinct 7213201121","1,313","1,150",163,717
"Precinct 7213201122",865,761,104,480
"Precinct 7213201123","1,717","1,464",253,729
"Precinct 7213201124","1,672","1,450",222,781
"Precinct 7213201125","1,113",964,149,548
"Precinct 7213201126","1,854","1,663",191,903
"Precinct 7213201127","1,221","1,076",145,564
"Precinct 7213201128","1,893","1,692",201,867
"Precinct 7213201129","1,692","1,474",218,776
"Precinct 7213201208",670,595,75,360
"Precinct 7213201209",896,787,109,499
"Precinct 7213201216","1,825","1,601",224,"1,028"
"Precinct 7213201217","1,060",930,130,624
"Precinct 7213201218",886,774,112,568
"Precinct 7213201219",354,309,45,219
"Precinct 7213201220",0,0,0,0
"Precinct 7213201221",564,496,68,376
"Precinct 7213201222",76,76,0,57
"Precinct 7213201223",0,0,0,0
"Precinct 7213201224",47,41,6,26
"Precinct 7213201254","1,033",853,180,471
"Precinct 7213201255",809,722,87,371
"Precinct 7213401027","1,025",734,291,367
"Precinct 7213401030","1,231","1,044",187,612
"Precinct 7213401035","1,346","1,137",209,542
"Precinct 7213401036",913,837,76,655
"Precinct 7213401042","1,253","1,007",246,638
"Precinct 7213501010","1,692","1,395",297,878
"Precinct 7213501011","1,885","1,651",234,"1,049"
"Precinct 7213501012","1,337","1,196",141,826
"Precinct 7213501013","1,968","1,699",269,"1,112"
"Precinct 7213501014","1,266","1,140",126,790
"Precinct 7213501015","1,755","1,320",435,744
"Precinct 7213501016","1,290","1,165",125,847
"Precinct 7213501017","1,145","1,027",118,716
"Precinct 7213501018","1,262","1,100",162,682
"Precinct 7213501019",878,765,113,512
"Precinct 7213501020","1,498","1,267",231,724
"Precinct 7213501024","1,455","1,316",139,857
"Precinct 7213501025","1,487","1,321",166,835
"Precinct 7213501026","1,948","1,635",313,"1,057"
"Precinct 7243101078",647,575,72,434
"Precinct 7243101079",902,850,52,676
"Precinct 7243101085","1,269","1,180",89,916
"Precinct 7243101086","1,165","1,094",71,860
"Precinct 7243101088","1,435","1,328",107,"1,091"
"Precinct 7243101089","1,534","1,232",302,897
"Precinct 7243101093","1,671","1,413",258,934
"Precinct 7243101094","1,453","1,317",136,927
"Precinct 7243101097","1,273","1,177",96,828
"Precinct 7243101105",266,188,78,96
"Precinct 7243101134","1,677","1,464",213,968
"Precinct 7243101135","1,684","1,504",180,"1,021"
"Precinct 7243101136","1,194","1,081",113,799
"Precinct 7243101137","1,628","1,500",128,"1,104"
"Precinct 7243101145","1,648","1,493",155,"1,055"
"Precinct 7243101146","1,421","1,146",275,774
"Precinct 7243101147","1,876","1,673",203,"1,137"
"Precinct 7243101149","1,234","1,153",81,892
"Precinct 7243401037","1,120",974,146,502
"Precinct 7243401038","1,741","1,521",220,949
"Precinct 7243401039","1,134","1,036",98,727
"Precinct 7243401040","1,255","1,120",135,752
"Precinct 7243401041","1,274","1,080",194,714
"Precinct 7243401051","1,724","1,540",184,"1,108"
"Precinct 7243401052","2,112","1,696",416,"1,091"
"Precinct 7243401053","1,267","1,186",81,939
"Precinct 7243401080","1,129","1,045",84,841
"Precinct 7243401081","1,150","1,052",98,790
"Precinct 7243401082","1,049",963,86,784
"Precinct 7243401083","1,342","1,168",174,860
"Precinct 7243401084",780,715,65,563
"Precinct 7243401087","1,682","1,216",466,753
"Precinct 7243401090","1,735","1,299",436,725
"Precinct 7243401091","1,566","1,267",299,677
"Precinct 7243401092","1,576","1,413",163,992
"Precinct 7243401095","1,444","1,310",134,905
"Precinct 7243401096","1,226","1,134",92,777
"Precinct 7243401098","1,224","1,122",102,815
"Precinct 7243401099",923,833,90,577
"Precinct 7243401100","1,561","1,336",225,874
"Precinct 7243401101","1,447","1,233",214,844
"Precinct 7243401102","1,304","1,202",102,841
"Precinct 7243401103",799,559,240,336
"Precinct 7243401104","1,195","1,066",129,739
"Precinct 7243501031","1,551","1,376",175,977
"Precinct 7243501032","1,257","1,132",125,786
"Precinct 7243501033","1,763","1,528",235,"1,111"
"Precinct 7243501034","1,370","1,236",134,878
"Precinct 7243501043","1,058","1,003",55,870
"Precinct 7243501044","1,222","1,025",197,759
"Precinct 7243501045",803,754,49,617
"Precinct 7243501046",793,751,42,645
"Precinct 7243501047","1,203","1,116",87,966
"Precinct 7243501048",936,882,54,775
"Precinct 7243501049","1,261","1,130",131,908
"Precinct 7243501050","1,117",967,150,765
"Precinct 7243501054",953,883,70,690
"Precinct 7243501055",953,830,123,672
"Precinct 7243501056","1,448","1,345",103,"1,103"
"Precinct 7243501057","1,061",968,93,780
"Precinct 7243501058","1,344","1,153",191,916
"Precinct 7243501059","1,171","1,089",82,915
"Precinct 7243501060","1,288","1,067",221,853
"Precinct 7243501061","1,657","1,356",301,"1,017"
"Precinct 7243501062","1,081","1,007",74,812
"Precinct 7243501063","1,220","1,138",82,930
"Precinct 7243501064","1,877","1,448",429,960
"Precinct 7243501065","1,136","1,054",82,857
"Precinct 7243501066",449,376,73,204
"Precinct 7243501067",710,619,91,457
"Precinct 7243501068","1,424","1,257",167,972
"Precinct 7243501069","1,522","1,289",233,964
"Precinct 7243501070","1,046",963,83,791
"Precinct 7253001131",915,806,109,404
"Precinct 7253001132","1,522","1,360",162,832
"Precinct 7253001138",926,831,95,601
"Precinct 7253001139",244,225,19,168
"Precinct 7253001142","1,049",965,84,750
"Precinct 7253001143",970,888,82,620
"Precinct 7253001144","1,615","1,448",167,"1,003"
"Precinct 7253001148","1,077",938,139,678
"Precinct 7253101106","2,058","1,696",362,"1,074"
"Precinct 7253101107","1,507","1,365",142,895
"Precinct 7253101108","1,651","1,402",249,882
"Precinct 7253101109","1,404","1,272",132,858
"Precinct 7253101110","1,061",964,97,602
"Precinct 7253101111","1,316","1,173",143,725
"Precinct 7253101112","1,233","1,100",133,679
"Precinct 7253101113","1,410","1,273",137,811
"Precinct 7253101114","1,200",995,205,616
"Precinct 7253101115","1,321","1,160",161,683
"Precinct 7253101116",856,709,147,400
"Precinct 7253101133","1,520","1,367",153,882
"Precinct 7253101250","1,353",795,558,347
"Precinct 7253401028","1,148",926,222,577
"Precinct 7253401029","1,702","1,391",311,749
Alamosa,"10,418","8,748","1,670","6,199"
"Precinct 3356202001",955,771,184,564
"Precinct 3356202002","1,159",814,345,543
"Precinct 3356202003","1,820","1,548",272,"1,158"
"Precinct 3356202004","1,846","1,656",190,"1,218"
"Precinct 3356202005",794,703,91,536
"Precinct 3356202006","1,126",922,204,599
"Precinct 3356202007","1,911","1,581",330,987
"Precinct 3356202008",807,753,54,594
Arapahoe,"430,697","373,596","57,101","274,761"
"Precinct 1260303101","1,438","1,245",193,786
"Precinct 1260303102","1,498","1,200",298,739
"Precinct 1260303103",828,708,120,434
"Precinct 1260303104",765,678,87,402
"Precinct 1260303105","1,452","1,257",195,905
"Precinct 1260303106",764,560,204,399
"Precinct 1260303107","1,034",881,153,663
"Precinct 1260303108",801,734,67,613
"Precinct 1260303109",727,667,60,565
"Precinct 1260303110",540,516,24,447
"Precinct 1260303111","1,576","1,277",299,902
"Precinct 1260303112","1,028",915,113,711
"Precinct 1260303113",713,645,68,559
"Precinct 1260303114","1,220",861,359,621
"Precinct 1260303115","1,260","1,066",194,769
"Precinct 1260303116","1,445","1,248",197,882
"Precinct 1260303117","1,463","1,164",299,764
"Precinct 1260303118",946,826,120,640
"Precinct 1260303119",911,838,73,563
"Precinct 1260303120",826,737,89,540
"Precinct 1260303121",645,579,66,454
"Precinct 1260303122",847,769,78,542
"Precinct 1260303123","1,033",909,124,704
"Precinct 1260303124","1,323","1,091",232,792
"Precinct 1260303125",839,586,253,344
"Precinct 1260303129",694,628,66,483
"Precinct 1260303130","1,101",979,122,762
"Precinct 1260303131","1,099","1,036",63,853
"Precinct 1260303132","1,141","1,070",71,901
"Precinct 1260303133","1,074",999,75,827
"Precinct 1260303134",599,567,32,482
"Precinct 1260303135",408,390,18,338
"Precinct 1260303136",886,850,36,763
"Precinct 1260303140",493,443,50,337
"Precinct 1263803141",491,483,8,422
"Precinct 1310903137",969,908,61,765
"Precinct 1310903138",449,411,38,343
"Precinct 1310903139",754,687,67,559
"Precinct 1310903230",0,0,0,0
"Precinct 1310903402",0,0,0,0
"Precinct 1310903475",28,28,0,21
"Precinct 1310903501","1,710","1,270",440,902
"Precinct 1310903502","1,740","1,237",503,791
"Precinct 4283603348",0,0,0,0
"Precinct 4283603350",9,9,0,0
"Precinct 4293603358",60,38,22,32
"Precinct 4293603361",2,2,0,0
"Precinct 4295603357",2,2,0,0
"Precinct 4295603359",0,0,0,0
"Precinct 4295603362","1,238","1,136",102,881
"Precinct 4295603363","1,278","1,156",122,818
"Precinct 4295603364","1,524","1,345",179,969
"Precinct 4295603365",735,655,80,484
"Precinct 4295603366",979,891,88,730
"Precinct 6260303126",930,651,279,346
"Precinct 6260303127",153,123,30,82
"Precinct 6260303128",475,437,38,322
"Precinct 6260303143",936,765,171,569
"Precinct 6260303153","1,660","1,312",348,939
"Precinct 6260303161",862,747,115,576
"Precinct 6260303162","1,043",828,215,570
"Precinct 6260303201",419,395,24,336
"Precinct 6260303202",381,369,12,305
"Precinct 6260303203",816,766,50,660
"Precinct 6260303204","1,699","1,617",82,"1,380"
"Precinct 6260303229","1,290","1,189",101,"1,007"
"Precinct 6260303231","1,465","1,080",385,761
"Precinct 6260303232","1,798","1,476",322,"1,130"
"Precinct 6260303234","1,495","1,254",241,987
"Precinct 6260303249",886,828,58,732
"Precinct 6260303253","1,730","1,592",138,"1,278"
"Precinct 6260303254",462,437,25,362
"Precinct 6260303256",0,0,0,0
"Precinct 6263803142",957,888,69,744
"Precinct 6263803144",834,791,43,649
"Precinct 6263803145",779,685,94,508
"Precinct 6263803146",843,809,34,709
"Precinct 6263803147",968,870,98,732
"Precinct 6263803148",613,583,30,507
"Precinct 6263803149","1,277","1,226",51,"1,077"
"Precinct 6263803150","1,454","1,226",228,945
"Precinct 6263803151","1,084",834,250,592
"Precinct 6263803152",932,842,90,696
"Precinct 6263803154","1,246","1,081",165,843
"Precinct 6263803155","1,310","1,226",84,"1,046"
"Precinct 6263803156",488,471,17,414
"Precinct 6263803157",711,677,34,587
"Precinct 6263803158",978,863,115,681
"Precinct 6263803159",883,765,118,597
"Precinct 6263803160","1,014",877,137,649
"Precinct 6263803163",891,799,92,618
"Precinct 6263803165","1,080",993,87,821
"Precinct 6263803166",472,448,24,370
"Precinct 6263803167","1,002",909,93,705
"Precinct 6263803168",968,916,52,815
"Precinct 6263803169","1,105","1,039",66,891
"Precinct 6263803170","1,538","1,254",284,894
"Precinct 6263803171","1,577","1,461",116,"1,263"
"Precinct 6263803172",890,819,71,668
"Precinct 6263803173",907,860,47,696
"Precinct 6263803174",783,680,103,543
"Precinct 6263803175","1,065",932,133,739
"Precinct 6263803176","1,437","1,310",127,"1,071"
"Precinct 6264003255","1,400","1,099",301,817
"Precinct 6264003258",456,329,127,179
"Precinct 6264003323",41,38,3,28
"Precinct 6264003424",0,0,0,0
"Precinct 6264003453",585,555,30,459
"Precinct 6264003455",688,648,40,497
"Precinct 6264103401","1,449","1,156",293,778
"Precinct 6264103403","1,112",743,369,516
"Precinct 6264103404","1,169",864,305,527
"Precinct 6264103405","1,130",840,290,513
"Precinct 6264103406",597,458,139,310
"Precinct 6264103407","1,669","1,335",334,990
"Precinct 6264103408",889,781,108,561
"Precinct 6264103409","1,833","1,442",391,974
"Precinct 6264103410","1,334","1,162",172,912
"Precinct 6264103411","1,860","1,338",522,861
"Precinct 6264103412","1,820","1,373",447,880
"Precinct 6264103413","1,455","1,061",394,696
"Precinct 6264103414","1,081",897,184,658
"Precinct 6264103416","1,778","1,523",255,"1,082"
"Precinct 6264103417","1,214","1,023",191,746
"Precinct 6264103418",982,908,74,686
"Precinct 6264103419","1,133","1,029",104,771
"Precinct 6264103423","1,506","1,339",167,"1,026"
"Precinct 6264103425","1,457","1,289",168,988
"Precinct 6264103426",778,706,72,553
"Precinct 6264103442",818,749,69,654
"Precinct 6264103443",553,527,26,490
"Precinct 6270303245",518,491,27,413
"Precinct 6270303246","1,160","1,019",141,822
"Precinct 6270303247","1,803","1,537",266,"1,191"
"Precinct 6270303248",786,653,133,495
"Precinct 6270303250","1,085","1,011",74,863
"Precinct 6270303251","1,538","1,429",109,"1,213"
"Precinct 6270303252","1,520","1,420",100,"1,209"
"Precinct 6273603335","1,671","1,526",145,"1,091"
"Precinct 6273603336","1,586","1,401",185,"1,007"
"Precinct 6273603337","1,562","1,355",207,941
"Precinct 6273603368",859,678,181,395
"Precinct 6273703218","1,020",867,153,675
"Precinct 6273703220",959,892,67,754
"Precinct 6273703221",849,784,65,676
"Precinct 6273703222",937,886,51,773
"Precinct 6273703223","1,094",918,176,727
"Precinct 6273703224",939,860,79,725
"Precinct 6273703225","1,039",970,69,821
"Precinct 6273703226",752,688,64,600
"Precinct 6273703227",728,682,46,561
"Precinct 6273703228",812,756,56,624
"Precinct 6273703233","1,008",710,298,476
"Precinct 6273703235",765,693,72,524
"Precinct 6273703236",733,662,71,517
"Precinct 6273703237","1,281","1,183",98,958
"Precinct 6273703238",925,823,102,642
"Precinct 6273703239",940,877,63,736
"Precinct 6273703240","1,512","1,396",116,"1,135"
"Precinct 6273703241","1,113","1,023",90,857
"Precinct 6273703242",777,735,42,649
"Precinct 6273703243","1,403","1,012",391,592
"Precinct 6273703244","1,147","1,005",142,772
"Precinct 6273703257","1,295","1,179",116,906
"Precinct 6273703259","2,385","1,791",594,"1,107"
"Precinct 6273703260","1,748","1,460",288,994
"Precinct 6273703261","1,523","1,398",125,"1,064"
"Precinct 6273703262","1,384","1,273",111,"1,045"
"Precinct 6273703263","1,104","1,022",82,826
"Precinct 6273703264","1,315","1,213",102,969
"Precinct 6273703274","1,253","1,146",107,900
"Precinct 6273703275",719,640,79,476
"Precinct 6273703276",363,308,55,227
"Precinct 6273703277",972,874,98,614
"Precinct 6273703278",566,522,44,394
"Precinct 6273703279",989,911,78,743
"Precinct 6273703280","1,239","1,157",82,884
"Precinct 6273703281","1,265","1,155",110,888
"Precinct 6273703282","1,559","1,416",143,"1,045"
"Precinct 6273703283",957,878,79,672
"Precinct 6273703284",854,674,180,451
"Precinct 6273703285",802,724,78,600
"Precinct 6273703286","1,904","1,563",341,"1,130"
"Precinct 6273703320","1,779","1,580",199,"1,098"
"Precinct 6273703321","1,391","1,271",120,992
"Precinct 6273703322","1,247","1,176",71,925
"Precinct 6273703324",638,605,33,497
"Precinct 6273703325","1,809","1,701",108,"1,375"
"Precinct 6273703328",323,302,21,244
"Precinct 6273703331",740,658,82,528
"Precinct 6273703332","1,188","1,060",128,783
"Precinct 6273703333",921,822,99,580
"Precinct 6273703334","2,024","1,772",252,"1,276"
"Precinct 6273703338","1,087",956,131,681
"Precinct 6273703339","1,381","1,221",160,872
"Precinct 6273703367","1,357","1,279",78,"1,022"
"Precinct 6273703458",0,0,0,0
"Precinct 6273803164",863,785,78,613
"Precinct 6273803177","1,043",972,71,761
"Precinct 6273803178",914,799,115,602
"Precinct 6273803179",743,686,57,527
"Precinct 6273803180",815,769,46,665
"Precinct 6273803181",789,710,79,567
"Precinct 6273803182","1,000",930,70,780
"Precinct 6273803183","1,488","1,317",171,"1,060"
"Precinct 6273803184",775,732,43,596
"Precinct 6273803185","1,006",900,106,694
"Precinct 6273803186",985,930,55,791
"Precinct 6273803187",982,919,63,766
"Precinct 6273803188",689,650,39,543
"Precinct 6273803189","1,150","1,069",81,876
"Precinct 6273803190","1,375","1,210",165,933
"Precinct 6273803191","1,196","1,148",48,990
"Precinct 6273803192","1,106","1,038",68,877
"Precinct 6273803193",952,875,77,717
"Precinct 6273803194","1,242","1,145",97,947
"Precinct 6273803195","1,048","1,011",37,876
"Precinct 6273803196",675,635,40,541
"Precinct 6273803197",751,712,39,602
"Precinct 6273803205",720,663,57,536
"Precinct 6273803206",825,788,37,671
"Precinct 6273803207","1,200","1,128",72,920
"Precinct 6273803208","1,214","1,120",94,902
"Precinct 6273803209","1,053",993,60,862
"Precinct 6273803210","1,620","1,488",132,"1,221"
"Precinct 6273803211",963,889,74,683
"Precinct 6273803212","1,413","1,249",164,977
"Precinct 6273803213","1,143","1,034",109,815
"Precinct 6273803214",909,861,48,701
"Precinct 6273803215",729,694,35,593
"Precinct 6273803216",956,908,48,764
"Precinct 6273803217",885,839,46,722
"Precinct 6273803219","1,221","1,160",61,"1,006"
"Precinct 6274003457",3,1,2,0
"Precinct 6283603318","1,052",924,128,645
